,label_predicted,labels,memebership,confidence_scores_original,confidence_scores_prediction
0,29,17,0,3.8294110709102824e-06,0.9942769408226013
1,29,21,1,8.99834958545398e-06,0.9990314245223999
2,29,36,1,0.019311368465423584,0.9691525101661682
3,36,41,0,0.18899232149124146,0.6176414489746094
4,34,33,0,1.760844412501683e-07,0.9182329773902893
5,29,21,0,2.08314781957597e-06,0.9978958368301392
6,10,19,1,7.062503359911432e-10,0.985869288444519
7,29,5,0,3.671474405564368e-05,0.9925099611282349
8,29,17,1,1.45103877002839e-05,0.9783399701118469
9,36,36,1,0.4221997857093811,0.4221997857093811
10,29,20,0,3.679839210235514e-05,0.9957602620124817
11,41,41,0,0.3391146957874298,0.3391146957874298
12,29,5,1,5.216481440584175e-05,0.947119414806366
13,29,17,0,2.142284211004153e-05,0.9684950113296509
14,23,21,1,1.9854116544593126e-05,0.9700596332550049
15,29,29,1,0.9836753010749817,0.9836753010749817
16,29,21,1,2.719679832807742e-05,0.9956339001655579
17,29,21,0,4.365204404166434e-06,0.9989829659461975
18,29,21,1,0.00019173489999957383,0.9736039042472839
19,36,22,1,0.043366689234972,0.5994533896446228
20,29,29,0,0.7184036374092102,0.7184036374092102
21,11,31,0,0.0027655577287077904,0.8521549105644226
22,29,21,1,0.00013618351658806205,0.36351504921913147
23,36,36,1,0.6083709597587585,0.6083709597587585
24,11,31,1,0.011301370337605476,0.5509692430496216
25,29,17,0,0.00014092026685830206,0.9548792839050293
26,29,41,0,0.0007342097233049572,0.9237619042396545
27,10,19,1,4.845209673476347e-07,0.9205148816108704
28,29,6,1,4.306274149712408e-06,0.9826952219009399
29,29,17,0,1.0638236744853202e-05,0.996057391166687
30,29,20,0,0.0006131067639216781,0.9565826654434204
31,29,6,1,4.725745384348556e-06,0.9820942282676697
32,11,11,1,0.5771347284317017,0.5771347284317017
33,34,34,1,0.9439818859100342,0.9439818859100342
34,15,36,1,0.023349665105342865,0.5118633508682251
35,36,41,0,0.09177949279546738,0.6402367353439331
36,15,41,1,0.07471314817667007,0.8440889120101929
37,29,5,1,6.2716417232877575e-06,0.9541409611701965
38,29,6,1,4.734750689294742e-07,0.9984381794929504
39,29,17,1,4.95976291858824e-06,0.9926322102546692
40,29,17,0,0.005935217719525099,0.5900931358337402
41,29,21,1,8.237419024226256e-06,0.9952484965324402
42,11,40,1,0.0008570279460400343,0.8624200224876404
43,23,6,0,1.2003231404378312e-06,0.7853489518165588
44,29,29,1,0.9828092455863953,0.9828092455863953
45,29,11,1,0.23817908763885498,0.704200029373169
46,29,21,0,1.8936427295557223e-05,0.9952438473701477
47,37,37,1,0.653014600276947,0.653014600276947
48,11,11,0,0.847022533416748,0.847022533416748
49,37,37,0,0.8822617530822754,0.8822617530822754
50,29,21,1,0.0001366427750326693,0.9813313484191895
51,29,36,1,0.0018419923726469278,0.9972609281539917
52,29,12,0,0.00012426463945303112,0.6549355387687683
53,29,17,1,3.053626278415322e-05,0.827134907245636
54,40,23,0,0.22911949455738068,0.4367518126964569
55,29,17,1,9.313080227002501e-05,0.9560776352882385
56,15,15,1,0.7107974290847778,0.7107974290847778
57,29,21,1,1.767879439285025e-06,0.998193085193634
58,29,41,1,0.011972272768616676,0.9190182089805603
59,29,29,1,0.898166298866272,0.898166298866272
60,29,29,0,0.9186450242996216,0.9186450242996216
61,29,17,1,1.5574589724565158e-06,0.9729865193367004
62,29,12,0,4.944309353049903e-07,0.9263706803321838
63,29,41,0,0.011539687402546406,0.6239623427391052
64,29,20,1,5.4266936786007136e-05,0.9982379674911499
65,29,17,0,6.829485528214718e-07,0.999505877494812
66,29,11,0,0.4397508502006531,0.5518094897270203
67,29,17,1,2.0389248675201088e-05,0.9739142656326294
68,15,15,1,0.6695606708526611,0.6695606708526611
69,41,41,1,0.49816155433654785,0.49816155433654785
70,29,21,1,7.282318620127626e-06,0.9978790283203125
71,29,37,0,0.0010387806687504053,0.5792519450187683
72,34,5,0,0.0001520694640930742,0.3953196108341217
73,29,21,1,7.723407179582864e-05,0.5945429801940918
74,29,43,1,0.005783348344266415,0.46369224786758423
75,15,41,1,0.1930244415998459,0.29609018564224243
76,34,38,1,3.768925012082036e-07,0.8528754115104675
77,29,11,1,0.0004992238827981055,0.9987050294876099
78,41,41,1,0.5726354122161865,0.5726354122161865
79,15,41,0,0.16965410113334656,0.6464719176292419
80,29,29,1,0.9851834774017334,0.9851834774017334
81,34,4,1,0.00034286524169147015,0.6105161905288696
82,36,41,0,0.01596769690513611,0.646534264087677
83,29,20,0,9.71089320955798e-06,0.9983940720558167
84,11,37,1,8.225350029533729e-05,0.6364229321479797
85,29,40,1,1.612506457604468e-05,0.6150961518287659
86,29,21,0,8.246330980909988e-05,0.9875094294548035
87,29,17,0,1.4605701608161326e-06,0.9986752867698669
88,29,21,0,0.00010086718975799158,0.9648213386535645
89,36,22,1,0.0497158020734787,0.649272084236145
90,29,6,1,2.055652112176176e-05,0.8101609349250793
91,29,40,1,0.000132253160700202,0.9395038485527039
92,29,21,1,0.0001317917340202257,0.987278938293457
93,36,36,1,0.3504076600074768,0.3504076600074768
94,29,21,1,2.987599600601243e-06,0.9996057152748108
95,29,17,1,8.829244961816585e-07,0.9989811778068542
96,29,37,1,0.0040917475707829,0.5122202634811401
97,11,11,1,0.848253071308136,0.848253071308136
98,29,27,0,1.544668748465483e-07,0.8194711208343506
99,34,33,0,1.2498494683654826e-08,0.9211122393608093
100,36,6,1,0.0044999197125434875,0.35782164335250854
101,36,41,1,0.38206225633621216,0.4090040326118469
102,43,41,1,0.0071372645907104015,0.5191676020622253
103,29,15,1,0.000503751274663955,0.985566258430481
104,23,41,0,0.012475620955228806,0.6343702673912048
105,29,5,0,0.0003890906518790871,0.8695048689842224
106,29,17,0,1.8214881265521399e-06,0.9978011250495911
107,10,5,0,0.0002956009120680392,0.9254707098007202
108,29,17,1,7.088712209224468e-06,0.9985516667366028
109,36,41,1,0.09209077805280685,0.6588665843009949
110,10,38,0,7.018734482500122e-09,0.9602720141410828
111,29,21,0,5.920092917222064e-06,0.998654842376709
112,7,4,1,7.94097468315158e-06,0.47768330574035645
113,23,37,1,0.003062902484089136,0.4558231234550476
114,11,27,1,2.8277710839574866e-07,0.8438487648963928
115,22,41,1,0.19634659588336945,0.315773606300354
116,29,5,1,7.784418812661897e-06,0.9708478450775146
117,29,17,0,6.558966560987756e-07,0.9993804693222046
118,29,6,0,4.1669832171464805e-06,0.9671481847763062
119,29,29,1,0.4928532540798187,0.4928532540798187
120,23,14,0,0.00916589330881834,0.9860849380493164
121,29,41,0,0.010788322426378727,0.9076321721076965
122,29,29,0,0.9974088072776794,0.9974088072776794
123,29,5,0,1.8519942386774346e-05,0.9700416922569275
124,11,11,1,0.9988357424736023,0.9988357424736023
125,36,22,1,0.12440778315067291,0.531609296798706
126,29,12,1,0.001180754043161869,0.780085563659668
127,41,41,1,0.6195007562637329,0.6195007562637329
128,11,27,1,2.866128845369076e-08,0.9404486417770386
129,22,41,1,0.20630668103694916,0.42429909110069275
130,29,6,1,0.00048571411753073335,0.967278003692627
131,36,41,1,0.15201681852340698,0.44771358370780945
132,11,11,0,0.6326659917831421,0.6326659917831421
133,29,37,1,0.0004104637773707509,0.7447411417961121
134,29,36,1,0.014654983766376972,0.6143901348114014
135,29,17,0,3.8804089854238555e-05,0.9721505045890808
136,29,21,1,7.116814231267199e-06,0.997448205947876
137,29,21,0,1.1178821296198294e-05,0.995527446269989
138,29,31,0,0.0753796249628067,0.5240523219108582
139,29,40,0,1.7364374798489735e-05,0.8551008105278015
140,29,22,0,0.011804305016994476,0.5572924017906189
141,29,36,1,0.23976409435272217,0.7183521389961243
142,36,41,0,0.029144005849957466,0.7838914394378662
143,41,41,0,0.3627266585826874,0.3627266585826874
144,11,37,0,0.000678961630910635,0.5981712937355042
145,23,12,1,2.9279561204020865e-05,0.793710470199585
146,29,20,1,0.000198604742763564,0.9856621623039246
147,29,21,1,1.4316943634185009e-05,0.9983887672424316
148,29,20,1,4.884140798822045e-05,0.9965548515319824
149,29,36,1,0.005230937153100967,0.9923772811889648
150,29,21,1,2.6225339752272703e-05,0.9978772401809692
151,29,21,1,0.0003804896550718695,0.9811404943466187
152,11,5,0,2.4734817998250946e-06,0.7471795082092285
153,29,17,1,0.008987043052911758,0.662811279296875
154,29,36,1,0.00198953365907073,0.8908214569091797
155,29,17,0,9.991117622121237e-07,0.9994274377822876
156,36,41,0,0.006858511362224817,0.6610375642776489
157,22,41,1,0.22152259945869446,0.5086584091186523
158,29,22,0,0.012589452788233757,0.5485818982124329
159,29,17,0,2.998702257173136e-06,0.997639536857605
160,29,41,1,3.0431006962317042e-05,0.9985283613204956
161,15,41,1,0.2789619266986847,0.5433181524276733
162,11,37,1,0.0008478121017105877,0.838024377822876
163,29,6,1,1.490715476393234e-06,0.9930534958839417
164,29,12,1,5.376541878376884e-08,0.9881636500358582
165,29,17,1,6.523844717776228e-07,0.9996912479400635
166,29,6,1,1.1417913725608742e-08,0.9949542880058289
167,29,36,0,0.002966498024761677,0.9910466074943542
168,29,12,1,3.0162084385665366e-07,0.9879710078239441
169,29,21,1,0.0006342431297525764,0.7830722332000732
170,29,37,1,0.2608622908592224,0.5144534111022949
171,29,41,1,0.009525356814265251,0.7878128886222839
172,29,31,1,6.177555178510374e-07,0.8701239228248596
173,29,15,0,7.42490665288642e-05,0.9900249242782593
174,29,17,0,5.0752450988511555e-06,0.9907538890838623
175,29,11,1,0.001538399956189096,0.9913801550865173
176,23,21,1,3.032158565474674e-05,0.5288012623786926
177,29,41,0,0.034816451370716095,0.9202498197555542
178,29,31,0,1.0740732250269502e-06,0.9545092582702637
179,29,21,1,1.03371103250538e-05,0.9959232807159424
180,29,20,1,0.001039213384501636,0.7593812346458435
181,10,38,1,8.540152975911042e-07,0.6707112789154053
182,29,41,0,0.1525992602109909,0.4397171437740326
183,34,39,1,7.332854238484288e-06,0.929408609867096
184,11,31,1,0.00022028216335456818,0.8372291326522827
185,11,29,0,0.3372429311275482,0.6562361121177673
186,29,21,0,6.216441761353053e-06,0.9989142417907715
187,29,41,1,0.08753576129674911,0.6640333533287048
188,29,36,1,0.13545331358909607,0.8024799823760986
189,29,31,0,1.3298212024892564e-06,0.9748173952102661
190,34,4,1,1.511849177404656e-06,0.5672983527183533
191,36,36,0,0.9605041146278381,0.9605041146278381
192,29,12,1,1.1271966826598145e-07,0.9919914603233337
193,29,41,0,0.0016364456387236714,0.9692860841751099
194,29,21,0,1.5309044101741165e-05,0.997032642364502
195,29,21,0,3.450025906204246e-05,0.9933379888534546
196,22,41,0,0.2503412961959839,0.5529513955116272
197,29,40,0,4.46022349933628e-05,0.6892027854919434
198,29,6,0,1.0709324669733178e-05,0.7635141015052795
199,29,27,1,5.765697324022767e-07,0.7139725089073181
200,29,5,1,0.00017097835370805115,0.6906912326812744
201,29,41,1,0.22400648891925812,0.5187267065048218
202,29,11,1,0.13647598028182983,0.862707793712616
203,29,21,0,3.2940929486358073e-06,0.9993497729301453
204,29,17,0,7.09398932485783e-07,0.9973275661468506
205,29,21,0,5.996201366542664e-07,0.9991521835327148
206,11,27,1,1.3337089654896772e-08,0.8189301490783691
207,29,17,0,2.282650712004397e-06,0.998052716255188
208,11,37,1,0.0003341760311741382,0.5230332612991333
209,24,21,0,6.340567051665857e-05,0.6424939632415771
210,29,41,1,0.011026959866285324,0.9701467752456665
211,37,29,0,0.1436222344636917,0.5918552875518799
212,10,19,0,1.2727375819920894e-09,0.9635854959487915
213,41,41,1,0.41767844557762146,0.41767844557762146
214,29,6,1,1.2253765646619286e-07,0.9967426657676697
215,29,21,1,4.255085968907224e-06,0.9988541603088379
216,24,32,1,4.881041348880899e-08,0.7396858930587769
217,29,17,1,1.5955471326378756e-06,0.9968039989471436
218,29,25,0,6.02410473220516e-05,0.9862779974937439
219,29,21,0,4.593940047925571e-06,0.9990523457527161
220,10,40,1,0.010860602371394634,0.31940871477127075
221,29,21,0,4.767972313857172e-06,0.9993395209312439
222,10,34,1,0.10356225073337555,0.8880345821380615
223,29,31,0,0.0004271184152457863,0.5757538080215454
224,29,40,0,6.148655302240513e-06,0.5278804302215576
225,29,36,0,0.016672268509864807,0.9791891574859619
226,29,17,0,2.8331503472145414e-06,0.9858314990997314
227,36,41,1,0.01698489859700203,0.9008277654647827
228,29,20,1,1.9489876649458893e-05,0.9984191656112671
229,36,36,0,0.44527557492256165,0.44527557492256165
230,29,41,1,0.00038152773049660027,0.9903379678726196
231,29,36,1,0.0011647474020719528,0.9970536231994629
232,29,5,1,8.347850962309167e-05,0.9266164898872375
233,29,17,1,7.373380412900588e-07,0.9993220567703247
234,36,12,0,0.00010335860133636743,0.7444350719451904
235,29,6,0,1.333529695557445e-07,0.9987607002258301
236,36,36,0,0.6782037615776062,0.6782037615776062
237,41,41,0,0.47455745935440063,0.47455745935440063
238,29,17,1,1.5777224689372815e-05,0.7478853464126587
239,29,41,1,0.0016407632501795888,0.9391112923622131
240,41,41,0,0.4944678843021393,0.4944678843021393
241,11,27,0,1.567596186191622e-08,0.6882328987121582
242,29,5,0,0.00012040779256494716,0.9900434017181396
243,29,5,1,5.666270590154454e-05,0.9531983733177185
244,29,40,1,6.287880751187913e-06,0.9580301642417908
245,29,15,1,0.001844378188252449,0.9904043674468994
246,22,41,1,0.3845956325531006,0.4827520251274109
247,29,17,0,2.1213847958279075e-06,0.9987998008728027
248,23,12,1,0.0005080150440335274,0.5182688236236572
249,29,21,0,3.0010731279617175e-05,0.9974627494812012
250,11,40,0,4.64901422674302e-05,0.5610333681106567
251,41,41,0,0.61495441198349,0.61495441198349
252,36,36,1,0.4803183376789093,0.4803183376789093
253,36,36,1,0.7277078628540039,0.7277078628540039
254,29,41,0,0.00014201518206391484,0.9975506663322449
255,29,17,0,2.999166554218391e-06,0.9979425072669983
256,34,5,1,0.0004195647197775543,0.8481088280677795
257,29,41,0,0.0026444564573466778,0.9753815531730652
258,7,7,0,0.9961392283439636,0.9961392283439636
